iter	Passed	Remaining
406	6545	9537
407	6561	9521
408	6577	9504
409	6593	9487
410	6608	9470
411	6623	9453
412	6639	9437
413	6655	9421
414	6671	9404
415	6687	9387
416	6702	9370
417	6718	9354
418	6733	9336
419	6749	9320
420	6765	9304
421	6781	9288
422	6798	9273
423	6814	9257
424	6831	9242
425	6848	9227
426	6864	9212
427	6881	9196
428	6897	9180
429	6912	9163
430	6928	9147
431	6944	9130
432	6959	9113
433	6978	9100
434	6993	9083
435	7008	9066
436	7024	9049
437	7039	9032
438	7054	9015
439	7070	8998
440	7085	8981
441	7100	8964
442	7116	8948
443	7131	8930
444	7147	8914
445	7162	8897
446	7178	8880
447	7194	8864
448	7209	8847
449	7225	8830
450	7240	8814
451	7256	8797
452	7272	8781
453	7287	8764
454	7304	8748
455	7319	8732
456	7335	8715
457	7354	8702
458	7370	8686
459	7386	8670
460	7403	8655
461	7418	8638
462	7434	8622
463	7449	8605
464	7465	8588
465	7480	8571
466	7495	8555
467	7511	8538
468	7526	8521
469	7542	8504
470	7557	8488
471	7572	8471
472	7587	8454
473	7603	8437
474	7619	8421
475	7634	8404
476	7649	8387
477	7665	8371
478	7681	8354
479	7697	8339
480	7713	8322
481	7728	8306
482	7744	8289
483	7760	8273
484	7775	8256
485	7799	8249
486	7815	8233
487	7831	8216
488	7847	8200
489	7862	8183
490	7884	8173
491	7902	8159
492	7918	8143
493	7934	8127
494	7949	8110
495	7965	8094
496	7981	8077
497	7999	8063
498	8014	8046
499	8029	8029
500	8045	8013
501	8060	7996
502	8078	7981
503	8094	7965
504	8109	7949
505	8125	7932
506	8140	7916
507	8156	7899
508	8171	7882
509	8187	7866
510	8203	7849
511	8218	7833
512	8234	7816
513	8250	7800
514	8265	7784
515	8283	7769
516	8299	7753
517	8315	7737
518	8330	7720
519	8346	7704
520	8363	7689
521	8382	7676
522	8403	7664
523	8418	7647
524	8438	7635
525	8459	7622
526	8474	7605
527	8497	7596
528	8518	7584
529	8537	7571
530	8553	7555
531	8569	7538
532	8588	7525
533	8610	7513
534	8625	7497
535	8643	7482
536	8662	7468
537	8677	7451
538	8692	7434
539	8710	7420
540	8726	7403
541	8743	7388
542	8759	7371
543	8774	7355
544	8790	7338
545	8806	7322
546	8822	7306
547	8838	7290
548	8854	7273
549	8869	7256
550	8885	7240
551	8902	7224
552	8919	7209
553	8936	7194
554	8953	7179
555	8969	7162
556	8985	7146
557	9000	7129
558	9016	7113
559	9030	7095
560	9046	7079
561	9062	7063
562	9079	7047
563	9095	7031
564	9111	7015
565	9127	6998
566	9145	6983
567	9161	6967
568	9178	6952
569	9193	6935
570	9208	6918
571	9224	6901
572	9240	6886
573	9256	6869
574	9272	6853
575	9288	6837
576	9304	6821
577	9320	6805
578	9336	6788
579	9352	6772
580	9368	6756
581	9386	6741
582	9406	6728
583	9422	6711
584	9443	6698
585	9461	6684
586	9478	6668
587	9503	6658
588	9519	6642
589	9537	6627
590	9555	6612
591	9571	6596
592	9587	6580
593	9603	6563
594	9619	6547
595	9636	6531
596	9652	6516
597	9668	6499
598	9684	6483
599	9700	6466
600	9716	6450
601	9732	6434
602	9748	6417
603	9763	6401
604	9778	6384
605	9794	6367
606	9814	6354
607	9833	6340
608	9850	6324
609	9877	6315
610	9899	6302
611	9916	6286
612	9935	6272
613	9957	6259
614	9974	6244
615	9994	6230
616	10013	6215
617	10029	6199
618	10047	6184
619	10063	6168
620	10083	6154
621	10103	6140
622	10121	6125
623	10145	6113
624	10161	6096
625	10178	6081
626	10194	6064
627	10210	6048
628	10227	6032
629	10243	6016
630	10259	5999
631	10275	5983
632	10291	5967
633	10308	5950
634	10324	5934
635	10340	5918
636	10356	5902
637	10373	5885
638	10390	5869
639	10405	5853
640	10420	5836
641	10436	5819
642	10451	5802
643	10466	5786
644	10482	5769
645	10498	5753
646	10514	5736
647	10530	5720
648	10546	5703
649	10572	5693
650	10589	5676
651	10604	5659
652	10619	5643
653	10637	5627
654	10653	5611
655	10669	5594
656	10685	5578
657	10701	5562
658	10716	5545
659	10732	5528
660	10747	5511
661	10762	5494
662	10777	5478
663	10792	5461
664	10807	5444
665	10823	5427
666	10839	5411
667	10855	5395
668	10872	5379
669	10888	5362
670	10904	5346
671	10920	5330
672	10937	5314
673	10954	5298
674	10970	5282
675	10986	5265
676	11002	5249
677	11019	5233
678	11036	5217
679	11052	5201
680	11068	5184
681	11083	5168
682	11099	5151
683	11114	5134
684	11129	5118
685	11145	5101
686	11161	5085
687	11176	5068
688	11192	5052
689	11208	5035
690	11224	5019
691	11240	5002
692	11255	4986
693	11271	4969
694	11287	4953
695	11302	4936
696	11318	4920
697	11333	4903
698	11348	4886
699	11363	4869
700	11379	4853
701	11395	4837
702	11410	4820
703	11425	4803
704	11440	4787
705	11456	4770
706	11471	4754
707	11487	4737
708	11503	4721
709	11519	4705
710	11535	4688
711	11553	4673
712	11569	4656
713	11584	4640
714	11600	4624
715	11616	4607
716	11632	4591
717	11647	4574
718	11663	4558
719	11679	4542
720	11695	4525
721	11710	4508
722	11725	4492
723	11740	4475
724	11756	4459
725	11772	4442
726	11787	4426
727	11803	4410
728	11819	4393
729	11835	4377
730	11851	4361
731	11867	4344
732	11888	4330
733	11904	4314
734	11921	4298
735	11936	4281
736	11951	4265
737	11967	4248
738	12016	4244
739	12041	4230
740	12063	4216
741	12085	4202
742	12106	4187
743	12125	4172
744	12141	4155
745	12157	4139
746	12173	4123
747	12193	4108
748	12215	4093
749	12237	4079
750	12258	4064
751	12278	4049
752	12295	4033
753	12324	4020
754	12341	4004
